course_id,course_name,category,sub_category,difficulty,rating,num_students,description
C1,Ethical Hacking Masterclass,Blockchain,General,Advanced,4.7,3292,Ethical Hacking Masterclass course covering General in the field of Blockchain.
C2,Advanced AI Model Deployment,Blockchain,Smart Contracts,Advanced,3.6,3644,Advanced AI Model Deployment course covering Smart Contracts in the field of Blockchain.
C3,Machine Learning A-Z,Web Development,Backend,Intermediate,3.8,1384,Machine Learning A-Z course covering Backend in the field of Web Development.
C4,Django Web Development,Web Development,Frontend,Beginner,3.9,1282,Django Web Development course covering Frontend in the field of Web Development.
C5,Cloud Computing with AWS,Blockchain,Smart Contracts,Advanced,4.2,2934,Cloud Computing with AWS course covering Smart Contracts in the field of Blockchain.
C6,Django Web Development,Cloud,DevOps,Advanced,5.0,1728,Django Web Development course covering DevOps in the field of Cloud.
C7,Advanced AI Model Deployment,Programming,Python Scripting,Advanced,3.8,2635,Advanced AI Model Deployment course covering Python Scripting in the field of Programming.
C8,Cybersecurity Basics,AI,NLP,Intermediate,4.1,2812,Cybersecurity Basics course covering NLP in the field of AI.
C9,Ethical Hacking Masterclass,Data Science,Power BI,Advanced,4.4,975,Ethical Hacking Masterclass course covering Power BI in the field of Data Science.
C10,Cybersecurity Basics,Blockchain,Web3,Beginner,3.9,4143,Cybersecurity Basics course covering Web3 in the field of Blockchain.
C11,Python for Data Science,Web Development,Frontend,Intermediate,4.3,1700,Python for Data Science course covering Frontend in the field of Web Development.
C12,Django Web Development,Blockchain,Smart Contracts,Intermediate,4.1,1195,Django Web Development course covering Smart Contracts in the field of Blockchain.
C13,Cloud Computing with AWS,Cloud,DevOps,Advanced,3.6,3998,Cloud Computing with AWS course covering DevOps in the field of Cloud.
C14,Data Visualization using Power BI,Web Development,Full Stack,Beginner,4.1,537,Data Visualization using Power BI course covering Full Stack in the field of Web Development.
C15,React for Frontend Development,Blockchain,General,Beginner,3.9,4084,React for Frontend Development course covering General in the field of Blockchain.
C16,Statistics for Machine Learning,AI,Artificial Intelligence,Beginner,4.7,2227,Statistics for Machine Learning course covering Artificial Intelligence in the field of AI.
C17,Advanced AI Model Deployment,Blockchain,Web3,Beginner,4.6,4714,Advanced AI Model Deployment course covering Web3 in the field of Blockchain.
C18,Computer Vision Crash Course,AI,Deep Learning,Intermediate,4.0,3299,Computer Vision Crash Course course covering Deep Learning in the field of AI.
C19,Data Visualization using Power BI,Blockchain,General,Intermediate,3.6,4798,Data Visualization using Power BI course covering General in the field of Blockchain.
C20,Computer Vision Crash Course,Blockchain,Smart Contracts,Advanced,4.4,2973,Computer Vision Crash Course course covering Smart Contracts in the field of Blockchain.
C21,Introduction to Artificial Intelligence,Programming,C++,Advanced,3.7,2890,Introduction to Artificial Intelligence course covering C++ in the field of Programming.
C22,Cybersecurity Basics,AI,Computer Vision,Advanced,3.6,406,Cybersecurity Basics course covering Computer Vision in the field of AI.
